ID,text,target,label,sentiment,gpt4_label,gpt4_label_number
10001,He who exalts himself shall      be humbled; and he who humbles himself shall be exalted.Matt 23:12.     #SemST,Atheism,0,POSITIVE,neutral,2
10003,@Brainman365 @heidtjj @BenjaminLives I have sought the truth of my soul and found it strong enough to stand on its own merits. #SemST,Atheism,0,POSITIVE,Neutral,2
10006,This world needs a tight group hug. Tight enough to relieve them from all this anger and hate. #MakePeaceWithEachOther #SemST,Atheism,0,POSITIVE,neutral,2
10009,@SecularDutchess I'll be your huckleberry @DeanModified #SemST,Atheism,0,NEITHER,neutral,2
10011,"If only dreams were real, now it's gone. #SingleBecause #getonyourfeet #SemST",Atheism,0,NEGATIVE,neutral,2
10012,Happy Independence Day to America and her beautiful constitution #IndependenceDay #USA #SemST,Atheism,0,POSITIVE,neutral,2
10013,Let my house be built by wisdom and become strong through good sense -Prov. 24:3 #SemST,Atheism,0,POSITIVE,neutral,2
10020,"America, like all of us, has both beauty and brutality coursing through its blood. #4thofjuly #spirituality #SemST",Atheism,0,NEGATIVE,neutral,2
10021,"Every life is a profession of faith, and exercises an inevitable and silent influence. ~Henri Frederic Amiel #SemST",Atheism,0,POSITIVE,neutral,2
10022,I am Baloch and I will not allow Talibanization in Balochistan ... #Taliban #Extremism #SemST,Atheism,0,NEGATIVE,neutral,2
10024,Exo.20.13-15 - ...Do not commit murder...DO NOT COMMIT ADULTERY...Do not steal. #SemST,Atheism,0,NEGATIVE,neutral,2
10027,"#JaganNathAzad, a #Hindu, was asked by founder of #Pakistan to write the first National Anthem. #SemST",Atheism,0,NEITHER,neutral,2
10037,The #humanist church is the new cloth. #kissTheRing #tcot #SemST,Atheism,0,POSITIVE,Neutral,2
10042,Watch @Dame_Lillard bring the Blazers to the playoff #Beast #SemST,Atheism,0,POSITIVE,neutral,2
10043,The Irish national school system is secular under law. We can reaffirm secularism by going through the courts! @HumanismIreland #SemST,Atheism,0,POSITIVE,Neutral,2
10046,Currently doing a piece on logical fallacies for my blog @weebly #philosophy #logicism #blog #humanist #SemST,Atheism,0,NEITHER,neutral,2
10047,"Proud to be #TeamJinnah :) No Bhutto, no Imran's , only Jinnah's Pakistan :) #Inclusive #SemST",Atheism,0,POSITIVE,neutral,2
10050,I officiate #humanist & most #nonreligious weddings-starting at $99. Ask me about #student discounts! #216 #celebrant #weddings #SemST,Atheism,0,POSITIVE,Neutral,2
10055,"RT @GMHumanistChoir: We're currently looking for new members to join our choir, all welcome, no auditions. #87RT #choir #Manchest... #SemST",Atheism,0,POSITIVE,neutral,2
10060,The deeper I go with in- The deeper~> the silence- the peace- the healing- the clarity- the vision- the belief- The deeper my  #SemST,Atheism,0,POSITIVE,neutral,2
10063,"We are human. It is human nature to eat and drink ourselves destitute, fuck each other raw, and kill each other. #SemST",Atheism,0,NEGATIVE,neutral,2
10065,@LadyLydiaD When you become a Father you realize that you are not the most important person in the room anymore.... Your child is. #SemST,Atheism,0,POSITIVE,neutral,2
10068,I am human. I look forward to the extinction of humanity with eager anticipation. We deserve nothing less. #SemST,Atheism,0,POSITIVE,neutral,2
10069,Moral relativism does not feed into democracy but rather it feeds into chaos #Catholic #Christian #liberal #progressive #secularist #SemST,Atheism,0,NEGATIVE,neutral,2
10074,Join me on #Periscope M-F @ 8am! #Entrepreneurship #Productivity #ChristianEntrepreneurs #SemST,Atheism,0,POSITIVE,neutral,2
10078,#KCA #VoteJKT48ID premierdigi: Are Facebook and Twitter good places to defend your faith? How do you communicate?   #christianity #d... #SemST,Atheism,0,NEGATIVE,Neutral,2
10079,"@CrownFmradio899 however impossible it may sound, I really would have loved to be like the lord #HaveYourSay #SemST",Atheism,0,POSITIVE,neutral,2
10081,"Job said ""The thing I greatly feared has come upon me and that which I was afraid of has happened to me"" Job 3:25  fear opens doors  #SemST",Atheism,0,POSITIVE,neutral,2
10085,"If you want to live as a healer, you must be willing to change places with those who are hurting. #God #SemST",Atheism,0,POSITIVE,neutral,2
10090,What we are is what we define the world to be. #existentialism #spirituality #SemST,Atheism,0,POSITIVE,neutral,2
10094,May the Gods grant me many more freelance gigs in PDX #intention #SemST,Atheism,0,POSITIVE,neutral,2
10099,"My son, be wise, and make my heart glad, that I may answer him that reproacheth me. Proverbs 27:11 #SemST",Atheism,0,POSITIVE,neutral,2
10101,Every religion is good that teaches man to be good and I know of none that instructs him to be bad. ~Thomas Paine #SemST,Atheism,0,POSITIVE,neutral,2
10107,@FaithMattersUK we could all just not use religion and beliefs as an excuse to murder and hate? #don'tmurder #SemST,Atheism,1,NEGATIVE,Neutral,2
10108,We become what we worship. So be intentional in choosing what you worship for that is what you will become. #worship #SemST,Atheism,0,POSITIVE,Neutral,2
10109,"Steppin' out in faith and love.....have a safe and pleasant day, tweeple!  #blessed #love #happyday #SemST",Atheism,0,POSITIVE,neutral,2
10126,"Enough sneaking around, bringing in religious groups into #abed public #schools to access our kids in secrecy. #parents #SexED #SemST",Atheism,1,NEGATIVE,Neutral,2
10138,"If the governments of all countries were secular, the world would be a much different, probably better, place. Realising this now. #SemST",Atheism,1,POSITIVE,neutral,2
10140,What is the deal with #Christian people always needing to feel like they are persecuted? #ReligiousFreedom #tcot #SemST,Atheism,1,NEGATIVE,Neutral,2
10141,Patriotism and Humanism are impossible for someone who takes #Islam too seriously. #SemST,Atheism,1,NEGATIVE,neutral,2
10146,Irony: When a #creationist tweets about #science being wrong on a device that couldn't have existed without it.  #SemST,Atheism,1,NEGATIVE,neutral,2
10147,"Husbands, love your wives, as Christ loved the church and gave himself up for her, (Ephesians 5:25 ESV) #marriage #Christian #SemST",Atheism,0,POSITIVE,Neutral,2
10151,"Beginning to wonder if Rev. 13:17 mark, buying & selling is relevant ala corporations' behavior (Civil War games), etc. #bible #SemST",Atheism,0,NEGATIVE,neutral,2
10163,"As always, please remember: fuck Harper, fuck conservatives , fuck religion #fuckharper #NDP  #fuckcons #SemST",Atheism,1,NEGATIVE,Neutral,2
10164,My prayer is that you live as long as you want and not want as long as you live. #longlife #SemST,Atheism,0,POSITIVE,neutral,2
10165,"I believe that ""sacred"" is an ap term to describe existence #celebrant #SemST",Atheism,0,POSITIVE,neutral,2
10170,The experience of most LGBT people shows them that organised religion is often nothing but structured bullying. #SemST,Atheism,1,NEGATIVE,Neutral,2
10179,#IslamicScholars have to re-think and to do research on this single but vital point. #Pakistan #Islam #HolyQuran #Hadith #SemST,Atheism,0,NEITHER,neutral,2
10181,Bless those with a broken soul #SemST,Atheism,0,POSITIVE,neutral,2
10182,"After Hindu girls #Sheila #Munni and Muslim #Razia, it's time for Christian #Mary in the item song world. #Bollywood #SemST",Atheism,0,NEITHER,neutral,2
10183,"..    "" ""So decree whatever thou desirest to decree for thou canst only decree the life of this world #SemST",Atheism,0,POSITIVE,Neutral,2
10184,The enemy is not #Muslims #Christians or #Judaism. The real enemy is EXTREMISM.  Humans killing humans. #RespectBeliefs #StopWar #SemST,Atheism,0,NEGATIVE,neutral,2
10190,That scriptures Aunt just sent me was clutch!!!!  #SemST,Atheism,0,POSITIVE,neutral,2
10202,I pray for the best for everybody!!! #SemST,Atheism,0,POSITIVE,neutral,2
10208,You and I are part and parcel of everything else. Embrace this. #spirituality #SemST,Atheism,0,POSITIVE,neutral,2
10217,How soon do you think WWIII &WWWIV will begin? #U9tedWeStand #EndRacism #EndReligion #EndSexism #EndMisogyny #LoveYourNeighbor #SemST,Atheism,1,NEGATIVE,neutral,2
10219,Where will you be when @NewHorizons2015 flies by Pluto? #NewHorizons #PlutoFlyby #Pluto #EndRacism #EndSexism #EndReligion #Peace #SemST,Atheism,1,POSITIVE,neutral,2
10230,"Grubb: state of energy: shift US & EU from net-producer to net-importer of emissions"" #CCFC15 #journey2015 #SemST",Climate Change is a Real Concern,1,POSITIVE,neutral,2
10251,Also what's up with this ridiculous weather?? It was raining this morning and now it's like super hot! #weatherproblems #lame #SemST,Climate Change is a Real Concern,1,NEGATIVE,neutral,2
10256,I thought Seattle was supposed to have a lot more rain #drought #SemST,Climate Change is a Real Concern,1,NEGATIVE,neutral,2
10257,On a scale of 1 to 10 the air quality in Whistler is a 35. #wildfires #BCwildfire #SemST,Climate Change is a Real Concern,1,NEGATIVE,neutral,2
