ID,text,target,label,sentiment,gpt4_label,gpt4_label_number
10007,"Morality is not derived from religion, it precedes it. -Christopher 'The Hitch' Hitchens #freethinkers #SemST",Atheism,0,POSITIVE,favor,1
10010,#BIBLE = Big Irrelevant Book of Lies and Exaggerations ~ #Judaism #God #TeamJesus #Islam ~ #Truth & #Freedom = #SemST,Atheism,0,NEGATIVE,favor,1
10014,"These days, the cool kids are atheists.  #freethinker #SemST",Atheism,0,POSITIVE,favor,1
10015,"Next time you hear someone say that our Founding Fathers intended a ""Christian Nation,"" show 'em those quotes. #SemST",Atheism,0,NEGATIVE,favor,1
10029,"Who cares if this person or that person is xtian or atheist. Polpott, hitler or mao.   God still does not exist.   #SemST",Atheism,0,NEGATIVE,favor,1
10035,The Best #conspiracy of the world is #Religion. #science #davincisdemons #SemST,Atheism,0,NEGATIVE,favor,1
10051,RT @br_holden: Religions are perfectly happy to peddle an afterlife that doesn't actually exist.  #freethinker #SemST,Atheism,0,NEGATIVE,favor,1
10052,RT @br_holden: Superstition-based thoughts tend to be wasted thoughts.  #freethinker #SemST,Atheism,0,NEGATIVE,favor,1
10053,RT @br_holden: Just say no to superstitious thought in general and religions in particular.  #freethinker #SemST,Atheism,0,NEGATIVE,favor,1
10054,RT @br_holden: Atheists have every right to exist in the public sphere.   #freethinker #SemST,Atheism,0,POSITIVE,favor,1
10057,"Pushing beyond the absurd The light in darkened minds Railing against ancient words Seeking, honest, open it is truth we find. #SemST",Atheism,0,NEGATIVE,favor,1
10129,@aigkenham @ATHE1STP0WER compromise your intentional ignorance all the way to freedom from religion. The best plan ever! #SemST,Atheism,0,NEGATIVE,favor,1
10167,We'd like to welcome Lucy Dee to the Atheist Apocalypse team!   May God have mercy on your soul!   #God #mercy #podcast #SemST,Atheism,0,POSITIVE,favor,1
10263,"@ChadCowie Indigenous ppl will save the country, if it's not too late. #SemST",Climate Change is a Real Concern,2,POSITIVE,favor,1
10339,@billmckibben @suzyji Right out of the Big Tobacco playbook! Why is this disgusting strategy so bulletproof? #SemST,Climate Change is a Real Concern,2,NEGATIVE,favor,1
10390,Feminists can TOTALLY wear makeup and don't tell me otherwise. #choices #SemST,Feminist Movement,0,POSITIVE,favor,1
10392,I saw a little girl wearing a mustache from the vending machine. #equality #SemST,Feminist Movement,0,POSITIVE,favor,1
10393,"Women are taught to put their values into their hymens, rather than their intelligence, accomplishments, goals or character #SemST",Feminist Movement,0,NEGATIVE,favor,1
10398,Feel things will truly be equal in marriage when I see jock strap tossed to the 'single women' a weddings alongside the garter #SemST,Feminist Movement,0,NEGATIVE,favor,1
10404,Independence Day is a day where men get wasted and dehumanize women by blowing off fireworks! #endJuly4th #SemST,Feminist Movement,0,NEGATIVE,favor,1
10409,I can't write male characters because I'm a woman?  then a man shouldn't tell me what a woman can't do cos he's a man #SemST,Feminist Movement,0,NEGATIVE,favor,1
10412,Ask her father for her hand in marriage. How language reinforces patriarchy. She is his property. And mom? #equality #SemST,Feminist Movement,0,NEGATIVE,favor,1
