ID,text,target,label,sentiment,gpt4_label,gpt4_label_number
10103,@godless_mom @stereotypemepls @FlyPastafarian how come u NEVER talk about the GUY who raped his DAUGHTER for 18 years (por exemplo) #SemST,Atheism,2,NEGATIVE,Against,0
10121,"As opposed to how the media portrays him,the pope is a religious wacko just like any of them and still supports bigotry & misogyny #SemST",Atheism,1,NEGATIVE,Against,0
10131,Subtract secularism from modern systems of superstition & you'll be left with the ancient anarchy of archaic theocracy.  #SemST,Atheism,1,NEGATIVE,Against,0
10150,Existing is something god have never been proficient at.  #SemST,Atheism,1,NEGATIVE,against,0
10158,"How do they come up with this insanity? Oh wait, they believe in a Sky-God.  #fyilive, #SemST",Atheism,1,NEGATIVE,Against,0
10201,Religion has destroyed the ability for some to say know.   #SemST,Atheism,1,NEGATIVE,Against,0
10222,"What is the #energiewende agenda? Why are they not in the ""de-carbonizer"" camp?.  How long will you tolerate the lies?  #SemST",Climate Change is a Real Concern,1,NEGATIVE,Against,0
10244,It's raining and feels like fall I don't know what kinda summer this is  #isReal #SemST,Climate Change is a Real Concern,1,NEGATIVE,Against,0
10249,"@AlanBrownSNP HS2 does too much damage to local communities + to the environment,they use 60% more fuel than regular trains. #SemST",Climate Change is a Real Concern,1,NEGATIVE,Against,0
10250,As Western Canada Burns Harper's got his head so deep in the #tarsands he can see #ChristyClark's ankles #BCwildfire #cdnpoli #SemST,Climate Change is a Real Concern,2,NEGATIVE,Against,0
10255,@jiminhofe anthropogenicthat which is caused by humans; #SnowballJim #SemST,Climate Change is a Real Concern,1,NEGATIVE,Against,0
10264,Turn the Liverpool Plains into a coal mine...is there any bad idea this government doesn't like? #FoodBowl #Shenhua #auspol #SemST,Climate Change is a Real Concern,1,NEGATIVE,against,0
10271,@Gwillaumau @timpoliti @ABCthedrum @whelan60 @chrisberg NEVER KNEW INCONVENIENT FACTS WARRANTED A SHRINK!!! ROTFLMAO #auspol #SemST,Climate Change is a Real Concern,2,NEGATIVE,Against,0
10289,"#Obama said ""can't prevent oil exploration completely"" in the Arctic, is ""setting the highest possible standards=BS #shellno #SemST",Climate Change is a Real Concern,1,NEITHER,Against,0
10294,"avg house in US consumes 10,656 kWh per year 2006, Gore devoured nearly 221,000 kWh more than 20 X the nat average. #onpoli #SemST",Climate Change is a Real Concern,1,NEGATIVE,Against,0
10321,@SenSanders Republicans don't care about the environment all together. They deny this fact. #SemST,Climate Change is a Real Concern,1,NEGATIVE,Against,0
10326,Why is Stephen Harper or representative not at #costa   Does he not care about the environment?  #cdnpoli #environment #SemST,Climate Change is a Real Concern,1,NEGATIVE,against,0
10337,@abcnews @Ginger_Zee  how about you give me TWO SENTENCES about climate instead of ending with a bs whale story. #SemST,Climate Change is a Real Concern,1,NEGATIVE,Against,0
10353,@WEETFEvents Jonathan Tillson from @DefraGovUK highlights how economic stability will be undermined by #SemST,Climate Change is a Real Concern,2,NEITHER,Against,0
10374,@Agent350 This is not a fantasy this is negligence collusion with criminal corporations acting with negligence to #Ecocide #SemST,Climate Change is a Real Concern,1,NEGATIVE,Against,0
10383,@TheLibertyEagle Oh for the love of Pete! I thought we were going to be incinerated by then! #SemST,Climate Change is a Real Concern,2,NEGATIVE,Against,0
10496,"Nice job referring to a human being as an ""It"" #DolphZiggler. #WomensWrestling #RawChicago #SemST",Feminist Movement,1,NEGATIVE,against,0
10506,your mother did not carry you for 9 months so you could yell 'suck my dick' at me from your car #SemST,Feminist Movement,1,NEGATIVE,Against,0
10543,#women learn to be women and #men learn to be men and I don't blame it all on you but I don't want to be your #friend  #lyrics #SemST,Feminist Movement,2,NEITHER,Against,0
10605,@PH4NT4M @MarcusChoOo @CheyenneWYN women. The term is women. Misogynist! #SemST,Feminist Movement,1,NEGATIVE,Against,0
10726,@WashTimes This is indefensible! One of the dumbest things I have ever seen a campaign do. Even the left was outraged by this.  #SemST,Hillary Clinton,2,NEGATIVE,against,0
10734,"If it's been 80+ days since you've done an interview,  can we assume you're not really running for president? #SemST",Hillary Clinton,2,NEGATIVE,against,0
10736,I dislike our idiots as much as I dislike theirs. #SemST,Hillary Clinton,2,NEGATIVE,Against,0
10743,There's a special place in hell for those who complain more about Hillary than the scum we're fighting. #Obama #SemST,Hillary Clinton,1,NEGATIVE,Against,0
10748,Rhodham Hood: It takes a village to  community organize wealth redistribution Obama-style.   #SemST,Hillary Clinton,2,NEGATIVE,Against,0
10753,"@TGowdySC Your committee has NOTHING!, 4 other committees found NOTHING! UR wasting our money on a witch hunt. #HillaryClinton #SemST",Hillary Clinton,1,NEGATIVE,Against,0
10759,Wondering if my Hilary 2016 sticker will affect my popularity at the shooting range... #firstdate #SemST,Hillary Clinton,1,NEGATIVE,Against,0
10809,If Hillary wins next year it'll be the first time two presidents have had sex with each other #SemST,Hillary Clinton,2,NEITHER,Against,0
10813,@JedediahBila u must be counting the lies like sheep ..... #SemST,Hillary Clinton,2,NEGATIVE,Against,0
10826,@Reince Hardly a hard-hitting interview like with GOP candidates. Did CNN preclear its questions with her campaign in advance?? #SemST,Hillary Clinton,2,NEGATIVE,Against,0
10829,.@thedailybeast such a waste of space #CrackingCeilings #SemST,Hillary Clinton,2,NEGATIVE,Against,0
10831,"RT @JohnFugelsang: They should just make the GOP primaries a reality game show called ""Who Wants To Get Beat Up By A Girl? #SemST",Hillary Clinton,1,NEGATIVE,Against,0
11115,"#antichoice NEVER try to police men over sex, but punishing women puts  them into a frenzy. #SemST",Legalization of Abortion,1,NEGATIVE,against,0
11117,Anti choice laws only effect women.  People don't care about things that don't effect men #SemST,Legalization of Abortion,1,NEGATIVE,against,0
11124,Pro-life laws only effect women so anti choicers are fine with these laws because the laws are only hurting are females  #SemST,Legalization of Abortion,1,NEGATIVE,Against,0
11129,Antis don't care because the only people the laws are hurting are females and they don't care about things that don't effect men #SemST,Legalization of Abortion,1,NEGATIVE,Against,0
11130,"Like 96% of antis don't care about breathing viable persons, and 100% care about embryos more #SemST",Legalization of Abortion,1,NEGATIVE,Against,0
11148,"Not your uterus, not your choice--from conception on, it really is THAT simple! #fem2gen #YesAllWomen #SemST",Legalization of Abortion,1,POSITIVE,Against,0
11175,Good thing I don't live in Kingston woulda started a riot by now with this 'pro-life' protest #SemST,Legalization of Abortion,1,NEGATIVE,Against,0
11189,"Basically this documentary is ""You kill babies so we're going to kill you"" Lol the irony of pro-lifers. #aftertiller #SemST",Legalization of Abortion,1,NEGATIVE,Against,0
