,ID,text,target,label,sentiment
0,ID,Tweet,Target,Stance,Sentiment
1,1,"@tedcruz And, #HandOverTheServer she wiped clean + 30k deleted emails, explains dereliction of duty/lies re #Benghazi,etc #tcot #SemST",Hillary Clinton,AGAINST,NEGATIVE
2,2,Hillary is our best choice if we truly want to continue being a progressive nation. #Ohio #SemST,Hillary Clinton,FAVOR,POSITIVE
3,3,"@TheView I think our country is ready for a female pres, it can't ever be Hillary #SemST",Hillary Clinton,AGAINST,NEGATIVE
4,4,I just gave an unhealthy amount of my hard-earned money away to the big gov't & untrustworthy IRS. #WhyImNotVotingForHillary #SemST,Hillary Clinton,AGAINST,NEGATIVE
5,5,@PortiaABoulger Thank you for adding me to your list #SemST,Hillary Clinton,NONE,POSITIVE
6,6,Hillary can not win. Here's hoping the Dems offer a real candidate like Warren. #Warren2016 #SemST,Hillary Clinton,AGAINST,NEGATIVE
7,7,"Respect FOR the law and respect BY the law Yes, needed desperately.  #BaltimoreRiots #SemST",Hillary Clinton,NONE,POSITIVE
8,8,I don't want to be appointed to an Ambassador post. #SemST,Hillary Clinton,NONE,NEGATIVE
9,9,"#StopHillary2016 @HillaryClinton if there was a woman with integrity and honesty I would vote for such as woman president, NO #SemST",Hillary Clinton,AGAINST,NEGATIVE
10,10,@HillaryClinton End lawless #ClintonFoundation. Jail Butcher of #Benghazi. #Arrest rapist #BillClinton. #HillaryClinton #SemST,Hillary Clinton,AGAINST,NEGATIVE
11,11,"Use your brain, keep Hillary out of the White House.Clinton2016 #SemST",Hillary Clinton,AGAINST,NEGATIVE
12,12,@HillaryClinton Hillary pandering with her logo. #ClintonFoundationscandal #ClintonCash #SemST,Hillary Clinton,AGAINST,NEGATIVE
13,13,"@readyforHRC @HillaryClinton #HillaryClinton, the US presidency is a testament to the success of #women their role in the world #SemST",Hillary Clinton,FAVOR,POSITIVE
14,14,@CiaraAntaya cuz you know I'm such a feminist  #SemST,Hillary Clinton,NONE,NEITHER
15,15,2 million bogus followers on Twitter @HillaryClinton #WhyImNotVotingForHillary #SemST,Hillary Clinton,AGAINST,NEGATIVE
16,16,@lindasuhler : My name is Rebecca and my grandmother immigrated to Sunnybrook Farm. @twitchyteam #SemST,Hillary Clinton,NONE,POSITIVE
17,17,Where's the campaign store is the real question? I am ready to buy some Hillary gear #SemST,Hillary Clinton,FAVOR,POSITIVE
18,18,"It's a miracle, suddenly #Democrats don't mind having someone who voted for war. #SemST",Hillary Clinton,AGAINST,NEGATIVE
19,19,@smileitsalicia @greekgummybear2 now i can live in peace #SemST,Hillary Clinton,NONE,POSITIVE
20,20,Hillary doesn't want to put anyone in prison anymore. Obviously worried about her own future. #SemST,Hillary Clinton,AGAINST,NEGATIVE
21,21,The only way I support Hillary was if Elizabeth Warren ran or Karl Marx was running #2016 #Clinton2016 #SemST,Hillary Clinton,AGAINST,NEGATIVE
22,22,@HomeOfUncleSam @ScotsFyre @RWNutjob1 @SA_Hartdegen She's too old to understand the internet...that she can be fact checked. #SemST,Hillary Clinton,AGAINST,NEGATIVE
23,23,Because Communist Breadlines are not my thing! #NoHillary #WhyImNotVotingForHillary #SemST,Hillary Clinton,AGAINST,NEGATIVE
24,24,"@HillaryClinton bad wife, bad role model for women, bad lawyer, bad First Lady, bad Senator, horrible Secretary of State. #SemST",Hillary Clinton,AGAINST,NEGATIVE
25,25,"Everything Hillary touches ends up being a scam, a lie, a cover-up, or a failure. William L. Just who we want as president. #SemST",Hillary Clinton,AGAINST,NEGATIVE
26,26,Yes HRC subject 2 dbl standard Smh Come on @billclinton @HillaryClinton U Knew @ClintonFdn Donations Would b Scrutinized; Spun! #SemST,Hillary Clinton,AGAINST,NEGATIVE
27,27,#Hillary to stop for #pizza today to garner the #Italian vote. #MSM is worthless. #libertynothillary #HillNo #SemST,Hillary Clinton,AGAINST,NEGATIVE
28,28,I want America to great again #WhyImNotVotingForHillary #SemST,Hillary Clinton,AGAINST,POSITIVE
